代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作
128114,正邦转债,120.982,1.23%,3.16,AA+,5.526,122.21,建仓
113557,森特转债,108.880,14.66%,2.16,AA-,5.033,123.54,建仓
128064,司尔转债,116.501,8.13%,1.18,AA,4.337,124.63,建仓
128082,华锋转债,113.790,11.04%,1.60,A+,4.992,124.83,建仓
113593,沪工转债,107.730,17.40%,2.40,AA,4.022,125.13,建仓
128128,齐翔转2,109.600,0.10%,1.83,AA,5.701,109.70,持仓
128127,文科转债,107.200,9.03%,1.02,AA-,5.701,116.23,持仓
113601,塞力转债,111.000,6.61%,2.24,AA-,5.704,117.61,持仓
128085,鸿达转债,108.997,9.56%,1.31,AA,5.027,118.56,持仓
128013,洪涛转债,108.049,10.55%,1.23,AA-,1.641,118.60,持仓
128066,亚泰转债,111.954,8.48%,1.68,AA-,4.362,120.43,持仓
113039,嘉泽转债,104.610,15.98%,1.82,AA,5.715,120.59,持仓
128108,蓝帆转债,120.000,2.00%,2.01,AA,5.471,122.00,持仓
123010,博世转债,109.813,12.87%,1.93,AA-,3.578,122.68,持仓
113595,花王转债,108.810,14.07%,1.97,AA-,5.619,122.88,持仓
113033,利群转债,109.760,13.65%,1.29,AA,5.315,123.41,持仓
123004,铁汉转债,119.780,4.72%,2.10,AA-,4.625,124.50,持仓
113549,白电转债,109.890,14.67%,1.53,AA,4.940,124.56,持仓
128116,瑞达转债,114.600,10.36%,1.30,AAA,4.315,124.96,持仓
113608,威派转债,106.840,18.96%,6.45,A+,5.926,125.80,清仓
113568,新春转债,109.960,16.08%,1.38,AA-,5.244,126.04,清仓
128057,博彦转债,123.884,2.10%,1.92,AA-,4.244,125.98,清仓
113008,电气转债,108.550,4.28%,1.25,AAA,0.175,112.83,清仓
110071,湖盐转债,108.870,16.46%,2.13,AA,5.589,125.33,清仓
113567,君禾转债,118.350,6.79%,3.67,A+,5.238,125.14,清仓
