代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,盈亏
128100,搜特转债,88.569,10.71%,1.27,AA,5.211,99.28,建仓,0%
113610,灵康转债,99.040,3.87%,4.39,AA-,5.934,102.91,建仓,0%
128139,祥鑫转债,97.150,6.27%,3.03,AA-,5.934,103.42,建仓,0%
113609,永安转债,92.450,15.22%,1.10,AA-,5.915,107.67,建仓,0%
113039,嘉泽转债,104.300,5.78%,2.00,AA,5.666,110.08,建仓,0%
113043,财通转债,100.000,10.99%,1.94,AAA,5.959,110.99,建仓,0%
128093,百川转债,108.360,3.26%,2.26,AA-,5.027,111.62,建仓,0%
113557,森特转债,96.350,15.41%,1.90,AA-,4.984,111.76,建仓,0%
128082,华锋转债,103.121,9.78%,1.47,A+,4.942,112.90,建仓,0%
123079,运达转债,113.000,0.64%,3.28,AA,5.934,113.64,建仓,0%
128085,鸿达转债,79.390,2.04%,1.03,AA,4.978,81.43,持仓,-5.9%
128128,齐翔转2,103.439,0.50%,1.72,AA,5.652,103.94,持仓,-3.1%
113595,花王转债,91.970,15.00%,1.65,AA-,5.570,106.97,持仓,-11.5%
128066,亚泰转债,100.751,10.34%,1.48,AA-,4.312,111.09,持仓,-5.3%
113033,利群转债,104.920,6.28%,1.32,AA,5.266,111.20,持仓,-0.6%
123010,博世转债,103.147,9.24%,1.87,AA-,3.529,112.39,持仓,-5.3%
113567,君禾转债,111.910,0.90%,3.68,A+,5.189,112.81,持仓,-2.3%
113541,荣晟转债,110.050,3.00%,1.96,AA-,4.575,113.05,持仓,-1.6%
113601,塞力转债,102.940,10.42%,2.01,AA-,5.655,113.36,持仓,-5.5%
113016,小康转债,110.870,2.51%,3.55,AA,2.866,113.38,持仓,-0.3%
113570,百达转债,102.650,15.46%,2.20,A+,5.208,118.11,清仓,-3.0%
123049,维尔转债,107.610,6.90%,1.40,AA-,5.299,114.51,清仓,-4.5%
123002,国祯转债,109.800,9.16%,1.55,AA,2.915,118.96,清仓,-4.0%
113549,白电转债,103.830,11.22%,1.49,AA,4.890,115.05,清仓,-1.3%
123051,今天转债,115.570,4.31%,3.28,A+,5.441,119.88,清仓,-1.2%
128094,星帅转债,110.312,3.42%,2.96,A+,5.063,113.73,清仓,-0.1%
113534,鼎胜转债,105.500,11.52%,1.64,AA,4.288,117.02,清仓,-2.1%
128013,洪涛转债,99.801,18.99%,1.05,AA-,1.592,118.79,清仓,-3.3%
128064,司尔转债,111.355,12.09%,1.09,AA,4.288,123.45,清仓,0.5%
128116,瑞达转债,101.000,21.49%,5.91,AA,5.512,122.49,清仓,-5.6%
