代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
110072,广汇转债,79.990,19.84%,0.54,AA+,5.600,99.83,建仓,79.990,0%
123089,九洲转2,94.201,9.86%,1.19,AA-,5.945,104.06,建仓,94.201,0%
128100,搜特转债,94.777,9.50%,1.38,AA,5.164,104.28,建仓,94.777,0%
123084,高澜转债,93.520,14.48%,3.31,A+,5.912,108.00,建仓,93.520,0%
113612,永冠转债,101.430,7.10%,2.22,AA-,5.907,108.53,建仓,101.430,0%
113570,百达转债,99.310,12.58%,2.18,A+,5.162,111.89,建仓,99.310,0%
128074,游族转债,97.711,14.59%,2.30,AA,4.701,112.30,建仓,97.711,0%
128082,华锋转债,100.990,11.36%,1.42,A+,4.896,112.35,建仓,100.990,0%
113610,灵康转债,100.120,3.53%,4.46,AA-,5.888,103.65,持仓,104.100,-3.8%
113609,永安转债,89.560,17.37%,1.05,AA-,5.868,106.93,持仓,93.680,-4.4%
128128,齐翔转2,105.150,2.77%,1.71,AA,5.605,107.92,持仓,103.950,1.2%
128140,润建转债,97.390,11.45%,1.73,AA,5.904,108.84,持仓,99.901,-2.5%
113601,塞力转债,99.010,10.10%,1.94,AA-,5.608,109.11,持仓,105.420,-6.1%
113033,利群转债,103.020,6.36%,1.30,AA,5.219,109.38,持仓,105.980,-2.8%
113039,嘉泽转债,102.030,9.71%,1.88,AA,5.619,111.74,持仓,108.720,-6.2%
113541,荣晟转债,108.240,3.57%,1.94,AA-,4.529,111.81,持仓,111.840,-3.2%
113557,森特转债,93.690,18.25%,1.80,AA-,4.937,111.94,持仓,97.750,-4.2%
128066,亚泰转债,95.963,17.02%,1.33,AA-,4.266,112.98,持仓,102.949,-6.8%
128040,华通转债,108.300,4.95%,7.73,AA-,3.422,113.25,持仓,116.240,-6.8%
128085,鸿达转债,78.326,7.36%,0.96,AA,4.932,85.69,持仓,100.107,-21.8%
128026,众兴转债,99.890,17.67%,1.35,AA-,2.921,117.56,清仓,106.200,-5.9%
123085,万顺转2,92.133,24.71%,0.91,AA-,5.915,116.84,清仓,97.500,-5.5%
128093,百川转债,101.600,17.63%,1.86,AA-,4.981,119.23,清仓,110.070,-7.7%
113591,胜达转债,97.320,19.48%,2.15,AA-,5.468,116.80,清仓,101.400,-4.0%
127003,海印转债,104.626,12.50%,1.60,AA,1.405,117.13,清仓,107.479,-2.7%
113016,小康转债,106.940,9.88%,3.24,AA,2.819,116.82,清仓,113.221,-5.5%
123010,博世转债,99.850,24.30%,1.59,AA-,3.482,124.15,清仓,111.034,-10.1%
