order_book_id,symbol,filtered_reason,date,rank
113502.XSHG,嘉澳转债,停牌,2018-01-08,17
113502.XSHG,嘉澳转债,停牌,2018-01-15,22
113502.XSHG,嘉澳转债,停牌,2018-01-22,18
113502.XSHG,嘉澳转债,停牌,2018-01-29,21
113502.XSHG,嘉澳转债,停牌,2018-02-05,19
113502.XSHG,嘉澳转债,停牌,2018-02-12,16
113502.XSHG,嘉澳转债,停牌,2018-02-22,16
113502.XSHG,嘉澳转债,停牌,2018-02-26,20
123007.XSHE,道氏转债,停牌,2018-03-05,16
113502.XSHG,嘉澳转债,停牌,2018-03-05,27
123007.XSHE,道氏转债,停牌,2018-03-12,20
113502.XSHG,嘉澳转债,停牌,2018-03-12,26
123007.XSHE,道氏转债,停牌,2018-03-19,19
113502.XSHG,嘉澳转债,停牌,2018-03-19,26
123007.XSHE,道氏转债,停牌,2018-03-26,17
113502.XSHG,嘉澳转债,停牌,2018-03-26,26
123007.XSHE,道氏转债,停牌,2018-04-02,20
113502.XSHG,嘉澳转债,停牌,2018-04-02,29
113016.XSHG,小康转债,停牌,2018-04-09,12
123007.XSHE,道氏转债,停牌,2018-04-09,16
113502.XSHG,嘉澳转债,停牌,2018-04-09,26
123007.XSHE,道氏转债,停牌,2018-04-16,18
113502.XSHG,嘉澳转债,停牌,2018-04-16,28
123007.XSHE,道氏转债,停牌,2018-04-23,18
113502.XSHG,嘉澳转债,停牌,2018-04-23,27
123007.XSHE,道氏转债,停牌,2018-05-02,17
113502.XSHG,嘉澳转债,停牌,2018-05-02,31
123007.XSHE,道氏转债,停牌,2018-05-07,18
128022.XSHE,众信转债,停牌,2018-05-07,23
113502.XSHG,嘉澳转债,停牌,2018-05-07,29
123007.XSHE,道氏转债,停牌,2018-05-14,21
128022.XSHE,众信转债,停牌,2018-05-14,26
128036.XSHE,金农转债,停牌,2018-05-21,6
128022.XSHE,众信转债,停牌,2018-05-21,29
128036.XSHE,金农转债,停牌,2018-05-28,6
128022.XSHE,众信转债,停牌,2018-05-28,29
123004.XSHE,铁汉转债,停牌,2018-05-28,51
128022.XSHE,众信转债,停牌,2018-06-04,34
123004.XSHE,铁汉转债,停牌,2018-06-04,53
128022.XSHE,众信转债,停牌,2018-06-11,25
123004.XSHE,铁汉转债,停牌,2018-06-11,50
113008.XSHG,电气转债,停牌,2018-06-11,63
110039.XSHG,宝信转债,已公告强赎,2018-06-19,12
123004.XSHE,铁汉转债,停牌,2018-06-19,46
113008.XSHG,电气转债,停牌,2018-06-19,62
110039.XSHG,宝信转债,已公告强赎,2018-06-25,38
123004.XSHE,铁汉转债,停牌,2018-06-25,47
113008.XSHG,电气转债,停牌,2018-06-25,63
123004.XSHE,铁汉转债,停牌,2018-07-02,47
110039.XSHG,宝信转债,已公告强赎,2018-07-02,56
113008.XSHG,电气转债,停牌,2018-07-02,66
123004.XSHE,铁汉转债,停牌,2018-07-09,46
110039.XSHG,宝信转债,停牌,2018-07-09,51
113008.XSHG,电气转债,停牌,2018-07-09,65
123004.XSHE,铁汉转债,停牌,2018-07-16,48
113008.XSHG,电气转债,停牌,2018-07-16,65
123004.XSHE,铁汉转债,停牌,2018-07-23,41
123005.XSHE,万信转债,已公告强赎,2018-07-23,62
113008.XSHG,电气转债,停牌,2018-07-23,67
123004.XSHE,铁汉转债,停牌,2018-07-30,48
113008.XSHG,电气转债,停牌,2018-07-30,65
123005.XSHE,万信转债,规模小于一亿,2018-07-30,66
123004.XSHE,铁汉转债,停牌,2018-08-06,47
123005.XSHE,万信转债,规模小于一亿,2018-08-06,54
113008.XSHG,电气转债,停牌,2018-08-06,69
123004.XSHE,铁汉转债,停牌,2018-08-13,48
123005.XSHE,万信转债,规模小于一亿,2018-08-13,64
128012.XSHE,辉丰转债,停牌,2018-08-13,77
123004.XSHE,铁汉转债,停牌,2018-08-20,48
123005.XSHE,万信转债,已公告强赎,2018-08-20,66
123004.XSHE,铁汉转债,停牌,2018-08-27,54
123005.XSHE,万信转债,已公告强赎,2018-08-27,71
123004.XSHE,铁汉转债,停牌,2018-09-03,56
123004.XSHE,铁汉转债,停牌,2018-09-10,53
123004.XSHE,铁汉转债,停牌,2018-09-17,55
123004.XSHE,铁汉转债,停牌,2018-09-25,56
123004.XSHE,铁汉转债,停牌,2018-10-08,56
123004.XSHE,铁汉转债,停牌,2018-10-15,48
123004.XSHE,铁汉转债,停牌,2018-10-22,54
128022.XSHE,众信转债,停牌,2018-10-22,75
123007.XSHE,道氏转债,停牌,2018-10-22,85
123004.XSHE,铁汉转债,停牌,2018-10-29,49
123004.XSHE,铁汉转债,停牌,2018-11-05,54
123004.XSHE,铁汉转债,停牌,2018-11-12,56
123004.XSHE,铁汉转债,停牌,2018-11-19,61
123004.XSHE,铁汉转债,停牌,2018-11-26,51
123004.XSHE,铁汉转债,停牌,2018-12-03,61
123004.XSHE,铁汉转债,停牌,2018-12-10,56
123004.XSHE,铁汉转债,停牌,2018-12-17,60
113010.XSHG,江南转债,规模小于一亿,2019-01-28,104
113010.XSHG,江南转债,规模小于一亿,2019-02-11,105
113010.XSHG,江南转债,已公告强赎,2019-02-18,0
123013.XSHE,横河转债,规模小于一亿,2019-03-11,71
110032.XSHG,三一转债,已公告强赎,2019-03-11,105
123013.XSHE,横河转债,规模小于一亿,2019-03-18,103
110032.XSHG,三一转债,已公告强赎,2019-03-18,116
123013.XSHE,横河转债,规模小于一亿,2019-03-25,57
123008.XSHE,康泰转债,已公告强赎,2019-03-25,106
110032.XSHG,三一转债,停牌,2019-03-25,120
123013.XSHE,横河转债,规模小于一亿,2019-04-01,62
123008.XSHE,康泰转债,已公告强赎,2019-04-01,125
128040.XSHE,华通转债,停牌,2019-04-08,7
123013.XSHE,横河转债,规模小于一亿,2019-04-08,48
113506.XSHG,鼎信转债,规模小于一亿,2019-04-08,85
123008.XSHE,康泰转债,规模小于一亿,2019-04-08,130
123006.XSHE,东财转债,已公告强赎,2019-04-08,131
128040.XSHE,华通转债,停牌,2019-04-15,15
128043.XSHE,东音转债,停牌,2019-04-15,22
113512.XSHG,景旺转债,已公告强赎,2019-04-15,32
123013.XSHE,横河转债,规模小于一亿,2019-04-15,65
113506.XSHG,鼎信转债,规模小于一亿,2019-04-15,82
113015.XSHG,隆基转债,停牌,2019-04-15,106
123006.XSHE,东财转债,已公告强赎,2019-04-15,129
123008.XSHE,康泰转债,规模小于一亿,2019-04-15,133
128043.XSHE,东音转债,停牌,2019-04-22,33
123013.XSHE,横河转债,规模小于一亿,2019-04-22,45
113512.XSHG,景旺转债,已公告强赎,2019-04-22,53
113506.XSHG,鼎信转债,规模小于一亿,2019-04-22,119
113018.XSHG,常熟转债,已公告强赎,2019-04-22,121
123006.XSHE,东财转债,已公告强赎,2019-04-22,137
123008.XSHE,康泰转债,规模小于一亿,2019-04-22,139
123013.XSHE,横河转债,规模小于一亿,2019-04-29,6
113512.XSHG,景旺转债,已公告强赎,2019-04-29,72
113506.XSHG,鼎信转债,已公告强赎,2019-04-29,115
113018.XSHG,常熟转债,已公告强赎,2019-04-29,129
123006.XSHE,东财转债,已公告强赎,2019-04-29,134
123008.XSHE,康泰转债,规模小于一亿,2019-04-29,146
123013.XSHE,横河转债,规模小于一亿,2019-05-06,12
123006.XSHE,东财转债,已公告强赎,2019-05-06,94
113506.XSHG,鼎信转债,已公告强赎,2019-05-06,103
110044.XSHG,广电转债,规模小于一亿,2019-05-06,115
113018.XSHG,常熟转债,已公告强赎,2019-05-06,128
128041.XSHE,盛路转债,规模小于一亿,2019-05-06,136
123008.XSHE,康泰转债,已公告强赎,2019-05-06,145
123013.XSHE,横河转债,规模小于一亿,2019-05-13,13
113018.XSHG,常熟转债,已公告强赎,2019-05-13,101
123006.XSHE,东财转债,已公告强赎,2019-05-13,129
128041.XSHE,盛路转债,规模小于一亿,2019-05-13,137
110044.XSHG,广电转债,规模小于一亿,2019-05-13,148
123008.XSHE,康泰转债,已公告强赎,2019-05-13,149
123013.XSHE,横河转债,规模小于一亿,2019-05-20,13
113018.XSHG,常熟转债,已公告强赎,2019-05-20,109
123006.XSHE,东财转债,已公告强赎,2019-05-20,130
128041.XSHE,盛路转债,规模小于一亿,2019-05-20,142
