order_book_id,symbol,bond_price,conversion_premium,weighted_score,date,rank
128023.XSHE,亚太转债,95.24,0.1060129032258064,52.92064516129032,2018-01-02,0
128019.XSHE,久立转2,95.5,0.108647711511789,53.18238557558945,2018-01-02,1
128018.XSHE,时达转债,95.4,0.1184827586206898,53.6241379310345,2018-01-02,2
128025.XSHE,特一转债,98.202,0.0935393605292171,53.777968026460854,2018-01-02,3
113503.XSHG,泰晶转债,101.8,0.072890087100788,54.5445043550394,2018-01-02,4
128022.XSHE,众信转债,104.2,0.0505022665457841,54.625113327289206,2018-01-02,5
128021.XSHE,兄弟转债,100.45,0.0962021021021022,55.03510510510511,2018-01-02,6
123002.XSHE,国祯转债,112.122,-0.0117105655634688,55.47547172182656,2018-01-02,7
128014.XSHE,永东转债,105.766,0.0550815992198927,55.63707996099464,2018-01-02,8
110039.XSHG,宝信转债,107.17,0.0551243733333333,56.34121866666666,2018-01-02,9
113016.XSHG,小康转债,100.0,0.1369253583786456,56.846267918932284,2018-01-02,10
128015.XSHE,久其转债,96.2,0.1955491329479768,57.877456647398844,2018-01-02,11
110040.XSHG,生益转债,111.53,0.0464990259740261,58.08995129870131,2018-01-02,12
110034.XSHG,九州转债,110.44,0.05976621761658,58.208310880828996,2018-01-02,13
113009.XSHG,广汽转债,117.2,-0.0002698795180723,58.58650602409639,2018-01-02,14
113011.XSHG,光大转债,105.8,0.117642156862745,58.78210784313725,2018-01-02,15
113012.XSHG,骆驼转债,96.46,0.2126399999999997,58.86199999999998,2018-01-02,16
110033.XSHG,国贸转债,118.08,0.0188881488736532,59.984407443682656,2018-01-02,17
113013.XSHG,国君转债,105.93,0.1424378003203419,60.0868900160171,2018-01-02,18
113502.XSHG,嘉澳转债,96.29,0.2451717941427352,60.40358970713676,2018-01-02,19
128023.XSHE,亚太转债,98.1,0.0872229299363054,53.41114649681526,2018-01-08,0
128026.XSHE,众兴转债,100.401,0.0686380235720762,53.63240117860381,2018-01-08,1
128019.XSHE,久立转2,97.652,0.1211896296296295,54.88548148148148,2018-01-08,2
128018.XSHE,时达转债,96.821,0.1452981113320078,55.67540556660039,2018-01-08,3
128025.XSHE,特一转债,100.488,0.1258222961730449,56.535114808652246,2018-01-08,4
113503.XSHG,泰晶转债,104.76,0.0842980040733196,56.594900203665986,2018-01-08,5
113016.XSHG,小康转债,101.03,0.1357233626588465,57.30116813294232,2018-01-08,6
128022.XSHE,众信转债,107.805,0.0908021838034576,58.44260919017288,2018-01-08,7
123002.XSHE,国祯转债,113.501,0.047395192982456,59.1202596491228,2018-01-08,8
128014.XSHE,永东转债,112.8,0.0596363636363634,59.38181818181817,2018-01-08,9
113009.XSHG,广汽转债,118.53,0.0062258992805754,59.57629496402877,2018-01-08,10
128021.XSHE,兄弟转债,107.201,0.1213829418537709,59.66964709268854,2018-01-08,11
113011.XSHG,光大转债,107.84,0.1254004842615011,60.190024213075056,2018-01-08,12
128015.XSHE,久其转债,98.38,0.2226416184971096,60.32208092485548,2018-01-08,13
113012.XSHG,骆驼转债,98.11,0.228763445692884,60.4931722846442,2018-01-08,14
110039.XSHG,宝信转债,112.03,0.0907562236286918,60.55281118143459,2018-01-08,15
110040.XSHG,生益转债,113.68,0.0754016366612113,60.61008183306057,2018-01-08,16
110034.XSHG,九州转债,113.95,0.1107126315789475,62.510631578947375,2018-01-08,18
113013.XSHG,国君转债,111.07,0.1529362795477902,63.18181397738951,2018-01-08,19
113014.XSHG,林洋转债,116.66,0.103879569892473,63.52397849462365,2018-01-08,20
113017.XSHG,吉视转债,98.08,-0.0058557823129251,48.74721088435374,2018-01-15,0
110041.XSHG,蒙电转债,100.47,0.0115580204778158,50.81290102389079,2018-01-15,1
128026.XSHE,众兴转债,96.633,0.0763485958254268,52.133929791271335,2018-01-15,2
