symbol,side,positionEffect,price,volume,createdAt
SHSE.600547,1,1,38.65999985,400,2016-12-01T01:40:00.000Z
SHSE.600074,1,1,15.35999966,10800,2016-12-01T01:40:00.000Z
SZSE.000002,1,1,26.70999908,6200,2016-12-01T01:40:00.000Z
SHSE.600276,1,1,46.97000122,3500,2016-12-01T01:40:00.000Z
SZSE.300017,1,1,59.75999832,2700,2016-12-01T01:40:00.000Z
SZSE.300015,1,1,33.34999847,4900,2016-12-01T01:40:00.000Z
SZSE.002027,1,1,17.60000038,9400,2016-12-01T01:40:00.000Z
SHSE.600519,1,1,321,500,2016-12-01T01:40:00.000Z
SZSE.002294,1,1,29.31999969,5600,2016-12-01T01:40:00.000Z
SHSE.600816,1,1,24.03000069,6900,2016-12-01T01:40:00.000Z
SHSE.600276,2,2,46.13999939,3500,2017-01-03T01:40:00.000Z
SHSE.600816,2,2,23.85000038,6900,2017-01-03T01:40:00.000Z
SZSE.002294,2,2,29.84000015,5600,2017-01-03T01:40:00.000Z
SZSE.300017,2,2,53.84999847,2700,2017-01-03T01:40:00.000Z
SHSE.600074,2,2,13.30000019,10800,2017-01-03T01:40:00.000Z
SZSE.000002,2,2,20.73999977,6200,2017-01-03T01:40:00.000Z
SHSE.600519,2,2,334.6199951,500,2017-01-03T01:40:00.000Z
SZSE.002027,2,2,14.22999954,9400,2017-01-03T01:40:00.000Z
SHSE.600547,2,2,36.81000137,4200,2017-01-03T01:40:00.000Z
SZSE.300015,2,2,30.26000023,4900,2017-01-03T01:40:00.000Z
SHSE.601398,1,1,4.420000076,34900,2017-01-03T01:40:00.000Z
SHSE.601988,1,1,3.460000038,44600,2017-01-03T01:40:00.000Z
SHSE.601288,1,1,3.119999886,49500,2017-01-03T01:40:00.000Z
SHSE.601328,1,1,5.800000191,26600,2017-01-03T01:40:00.000Z
SHSE.601818,1,1,3.940000057,39200,2017-01-03T01:40:00.000Z
SHSE.600028,1,1,5.480000019,28100,2017-01-03T01:40:00.000Z
SZSE.000001,1,1,9.149999619,16800,2017-01-03T01:40:00.000Z
SHSE.600015,1,1,11.14999962,13800,2017-01-03T01:40:00.000Z
SHSE.601857,1,1,7.960000038,19400,2017-01-03T01:40:00.000Z
SHSE.601166,1,1,16.23999977,9500,2017-01-03T01:40:00.000Z
SHSE.601328,2,2,5.980000019,26600,2017-02-03T01:40:00.000Z
SHSE.601398,2,2,4.570000172,34900,2017-02-03T01:40:00.000Z
SZSE.000001,2,2,9.260000229,16800,2017-02-03T01:40:00.000Z
SHSE.601988,2,2,3.549999952,44600,2017-02-03T01:40:00.000Z
SHSE.601288,2,2,3.190000057,49500,2017-02-03T01:40:00.000Z
SHSE.600028,2,2,5.949999809,28100,2017-02-03T01:40:00.000Z
SHSE.601818,2,2,4.050000191,39200,2017-02-03T01:40:00.000Z
SHSE.600015,2,2,11.47999954,13800,2017-02-03T01:40:00.000Z
SHSE.601166,2,2,16.79999924,9500,2017-02-03T01:40:00.000Z
SHSE.601857,2,2,8.579999924,19400,2017-02-03T01:40:00.000Z
SHSE.600871,1,1,3.839999914,41500,2017-02-03T01:40:00.000Z
SZSE.002568,1,1,19.80999947,8000,2017-02-03T01:40:00.000Z
SZSE.000503,1,1,42.90000153,3700,2017-02-03T01:40:00.000Z
SZSE.000839,1,1,8.409999847,18900,2017-02-03T01:40:00.000Z
SZSE.300104,1,1,36.61999893,4300,2017-02-03T01:40:00.000Z
SHSE.600038,1,1,52,3000,2017-02-03T01:40:00.000Z
SZSE.300085,1,1,19.20999908,8300,2017-02-03T01:40:00.000Z
SZSE.000768,1,1,23.5,6700,2017-02-03T01:40:00.000Z
SHSE.600685,1,1,32.70000076,4800,2017-02-03T01:40:00.000Z
SHSE.600570,1,1,43.90999985,3600,2017-02-03T01:40:00.000Z
SZSE.000839,2,2,11.38000011,18900,2017-03-01T01:40:00.000Z
SZSE.000768,2,2,23.86000061,6700,2017-03-01T01:40:00.000Z
SHSE.600570,2,2,47.02000046,3600,2017-03-01T01:40:00.000Z
SHSE.600038,2,2,51.02000046,3000,2017-03-01T01:40:00.000Z
SZSE.002568,2,2,21.68000031,8000,2017-03-01T01:40:00.000Z
SZSE.300104,2,2,35.00999832,4300,2017-03-01T01:40:00.000Z
SZSE.000503,2,2,42.61000061,3700,2017-03-01T01:40:00.000Z
SHSE.600871,2,2,3.930000067,41500,2017-03-01T01:40:00.000Z
SZSE.300085,2,2,20.71999931,8300,2017-03-01T01:40:00.000Z
SHSE.600685,2,2,34.97000122,4800,2017-03-01T01:40:00.000Z
SHSE.600482,1,1,31.95999908,5200,2017-03-01T01:40:00.000Z
SHSE.600816,1,1,27.13999939,6200,2017-03-01T01:40:00.000Z
SHSE.601857,1,1,8.239999771,20400,2017-03-01T01:40:00.000Z
SHSE.601398,1,1,4.679999828,35900,2017-03-01T01:40:00.000Z
SHSE.601288,1,1,3.25999999,51600,2017-03-01T01:40:00.000Z
SZSE.300033,1,1,68.58000183,2400,2017-03-01T01:40:00.000Z
SHSE.601988,1,1,3.680000067,45700,2017-03-01T01:40:00.000Z
SHSE.600519,1,1,356.7099915,400,2017-03-01T01:40:00.000Z
SHSE.601628,1,1,25.54000092,6500,2017-03-01T01:40:00.000Z
SHSE.600019,1,1,7.079999924,23700,2017-03-01T01:40:00.000Z
SHSE.601398,2,2,4.849999905,35900,2017-04-05T01:40:00.000Z
SHSE.601628,2,2,25.20999908,6500,2017-04-05T01:40:00.000Z
SZSE.300033,2,2,64.56999969,2400,2017-04-05T01:40:00.000Z
SHSE.601988,2,2,3.670000076,45700,2017-04-05T01:40:00.000Z
SHSE.601288,2,2,3.349999905,51600,2017-04-05T01:40:00.000Z
SHSE.600019,2,2,6.75,23700,2017-04-05T01:40:00.000Z
SHSE.601857,2,2,7.940000057,20400,2017-04-05T01:40:00.000Z
SHSE.600482,2,2,35.79999924,5200,2017-04-05T01:40:00.000Z
SZSE.002027,1,1,12.09000015,13300,2017-04-05T01:40:00.000Z
SZSE.002304,1,1,86.98999786,1800,2017-04-05T01:40:00.000Z
SZSE.000858,1,1,43.22999954,3700,2017-04-05T01:40:00.000Z
SZSE.000568,1,1,42.08000183,3800,2017-04-05T01:40:00.000Z
SHSE.600688,1,1,6.5,24700,2017-04-05T01:40:00.000Z
SZSE.000423,1,1,65.5,2400,2017-04-05T01:40:00.000Z
SZSE.300146,1,1,11.23999977,14300,2017-04-05T01:40:00.000Z
SHSE.600276,1,1,54.79999924,2900,2017-04-05T01:40:00.000Z
SHSE.600816,1,1,11.52000046,7700,2017-04-05T01:40:00.000Z
SHSE.600276,2,2,53.18999863,2900,2017-05-02T01:40:00.000Z
SHSE.600688,2,2,6.480000019,24700,2017-05-02T01:40:00.000Z
SHSE.600816,2,2,11.35000038,13900,2017-05-02T01:40:00.000Z
SHSE.600519,2,2,411,400,2017-05-02T01:40:00.000Z
SZSE.002027,2,2,13,13300,2017-05-02T01:40:00.000Z
SZSE.000423,1,1,63.97000122,100,2017-05-02T01:40:00.000Z
SZSE.000568,2,2,45.40999985,200,2017-05-02T01:40:00.000Z
SZSE.002304,1,1,78.98999786,200,2017-05-02T01:40:00.000Z
SHSE.600221,1,1,3.309999943,48700,2017-05-02T01:40:00.000Z
SZSE.300146,1,1,10.78999996,600,2017-05-02T01:40:00.000Z
SHSE.600959,1,1,10.22999954,15700,2017-05-02T01:40:00.000Z
SHSE.601988,1,1,3.549999952,45400,2017-05-02T01:40:00.000Z
SHSE.601288,1,1,3.329999924,48400,2017-05-02T01:40:00.000Z
SHSE.601328,1,1,5.929999828,27200,2017-05-02T01:40:00.000Z
SHSE.601328,2,2,6.230000019,27200,2017-06-01T01:40:00.000Z
SHSE.600959,2,2,10.89999962,15700,2017-06-01T01:40:00.000Z
SZSE.000423,2,2,67.36000061,2500,2017-06-01T01:40:00.000Z
