order_book_id,symbol,filtered_reason,date,rank
113502.XSHG,嘉澳转债,停牌,2018-01-08,17
128010.XSHE,蔚蓝转债,"无/低成交, 量:1180, 额:141055.14",2018-01-08,23
113502.XSHG,嘉澳转债,停牌,2018-01-15,22
113502.XSHG,嘉澳转债,停牌,2018-01-22,18
113502.XSHG,嘉澳转债,停牌,2018-01-29,21
113502.XSHG,嘉澳转债,停牌,2018-02-05,19
113502.XSHG,嘉澳转债,停牌,2018-02-12,16
113502.XSHG,嘉澳转债,停牌,2018-02-22,16
113502.XSHG,嘉澳转债,停牌,2018-02-26,20
123007.XSHE,道氏转债,停牌,2018-03-05,16
113502.XSHG,嘉澳转债,停牌,2018-03-05,27
123007.XSHE,道氏转债,停牌,2018-03-12,20
113502.XSHG,嘉澳转债,停牌,2018-03-12,26
123007.XSHE,道氏转债,停牌,2018-03-19,19
113502.XSHG,嘉澳转债,停牌,2018-03-19,26
127004.XSHE,模塑转债,"无/低成交, 量:4270, 额:408087.89",2018-03-19,50
123007.XSHE,道氏转债,停牌,2018-03-26,17
113502.XSHG,嘉澳转债,停牌,2018-03-26,26
123007.XSHE,道氏转债,停牌,2018-04-02,20
113502.XSHG,嘉澳转债,停牌,2018-04-02,29
113016.XSHG,小康转债,停牌,2018-04-09,12
123007.XSHE,道氏转债,停牌,2018-04-09,16
113502.XSHG,嘉澳转债,停牌,2018-04-09,26
123007.XSHE,道氏转债,停牌,2018-04-16,18
113502.XSHG,嘉澳转债,停牌,2018-04-16,28
123007.XSHE,道氏转债,停牌,2018-04-23,18
113502.XSHG,嘉澳转债,停牌,2018-04-23,27
123007.XSHE,道氏转债,停牌,2018-05-02,17
113502.XSHG,嘉澳转债,停牌,2018-05-02,31
123007.XSHE,道氏转债,停牌,2018-05-07,18
128022.XSHE,众信转债,停牌,2018-05-07,23
113502.XSHG,嘉澳转债,停牌,2018-05-07,29
123007.XSHE,道氏转债,停牌,2018-05-14,21
128022.XSHE,众信转债,停牌,2018-05-14,26
128036.XSHE,金农转债,停牌,2018-05-21,6
128022.XSHE,众信转债,停牌,2018-05-21,29
128036.XSHE,金农转债,停牌,2018-05-28,6
128022.XSHE,众信转债,停牌,2018-05-28,29
128010.XSHE,蔚蓝转债,"无/低成交, 量:3535, 额:382980.33",2018-05-28,47
123004.XSHE,铁汉转债,停牌,2018-05-28,51
128022.XSHE,众信转债,停牌,2018-06-04,34
113504.XSHG,艾华转债,"无/低成交, 量:630, 额:67713.0",2018-06-04,39
123004.XSHE,铁汉转债,停牌,2018-06-04,53
128022.XSHE,众信转债,停牌,2018-06-11,25
123004.XSHE,铁汉转债,停牌,2018-06-11,50
113008.XSHG,电气转债,停牌,2018-06-11,63
110039.XSHG,宝信转债,已公告强赎: 2018-06-13,2018-06-19,12
123004.XSHE,铁汉转债,停牌,2018-06-19,46
113008.XSHG,电气转债,停牌,2018-06-19,62
128025.XSHE,特一转债,"无/低成交, 量:4800, 额:439404.333",2018-06-25,4
110039.XSHG,宝信转债,已公告强赎: 2018-06-13,2018-06-25,38
123004.XSHE,铁汉转债,停牌,2018-06-25,47
113008.XSHG,电气转债,停牌,2018-06-25,63
110034.XSHG,九州转债,"无/低成交, 量:3630, 额:382472.0",2018-07-02,28
113502.XSHG,嘉澳转债,"无/低成交, 量:4130, 额:364351.0",2018-07-02,45
123004.XSHE,铁汉转债,停牌,2018-07-02,47
128010.XSHE,蔚蓝转债,"无/低成交, 量:2582, 额:251745.802",2018-07-02,55
110039.XSHG,宝信转债,已公告强赎: 2018-06-13,2018-07-02,56
113008.XSHG,电气转债,停牌,2018-07-02,66
128030.XSHE,天康转债,"无/低成交, 量:3231, 额:296716.112",2018-07-09,12
123004.XSHE,铁汉转债,停牌,2018-07-09,46
110039.XSHG,宝信转债,停牌,2018-07-09,51
113008.XSHG,电气转债,停牌,2018-07-09,65
128030.XSHE,天康转债,"无/低成交, 量:2848, 额:260435.508",2018-07-16,8
123004.XSHE,铁汉转债,停牌,2018-07-16,48
113008.XSHG,电气转债,停牌,2018-07-16,65
110031.XSHG,航信转债,"无/低成交, 量:4380, 额:451784.0",2018-07-16,69
123004.XSHE,铁汉转债,停牌,2018-07-23,41
123005.XSHE,万信转债,已公告强赎: 2018-07-17,2018-07-23,62
113008.XSHG,电气转债,停牌,2018-07-23,67
113012.XSHG,骆驼转债,"无/低成交, 量:230, 额:22865.0",2018-07-30,16
113016.XSHG,小康转债,"无/低成交, 量:5020, 额:468226.0",2018-07-30,18
123002.XSHE,国祯转债,"无/低成交, 量:2983, 额:315380.489",2018-07-30,28
123004.XSHE,铁汉转债,停牌,2018-07-30,48
128010.XSHE,蔚蓝转债,"无/低成交, 量:4913, 额:490283.782",2018-07-30,62
113008.XSHG,电气转债,停牌,2018-07-30,65
123005.XSHE,万信转债,规模小于一亿: 88410700.0,2018-07-30,66
113012.XSHG,骆驼转债,"无/低成交, 量:790, 额:77737.0",2018-08-06,12
113507.XSHG,天马转债,"无/低成交, 量:2520, 额:241649.0",2018-08-06,17
128022.XSHE,众信转债,"无/低成交, 量:2086, 额:210825.198",2018-08-06,30
123007.XSHE,道氏转债,"无/低成交, 量:2552, 额:252946.48",2018-08-06,40
123004.XSHE,铁汉转债,停牌,2018-08-06,47
123005.XSHE,万信转债,规模小于一亿: 47320200.0,2018-08-06,54
113008.XSHG,电气转债,停牌,2018-08-06,69
128030.XSHE,天康转债,"无/低成交, 量:2126, 额:198349.754",2018-08-13,21
123007.XSHE,道氏转债,"无/低成交, 量:2383, 额:239023.773",2018-08-13,44
123004.XSHE,铁汉转债,停牌,2018-08-13,48
110033.XSHG,国贸转债,"无/低成交, 量:620, 额:65076.0",2018-08-13,51
113502.XSHG,嘉澳转债,"无/低成交, 量:2230, 额:199215.0",2018-08-13,57
123005.XSHE,万信转债,规模小于一亿: 22535700.0,2018-08-13,64
113010.XSHG,江南转债,"无/低成交, 量:880, 额:90080.0",2018-08-13,66
128012.XSHE,辉丰转债,停牌,2018-08-13,77
113505.XSHG,杭电转债,"无/低成交, 量:2550, 额:241891.0",2018-08-20,11
128033.XSHE,迪龙转债,"无/低成交, 量:2103, 额:198784.62",2018-08-20,27
123004.XSHE,铁汉转债,停牌,2018-08-20,48
123007.XSHE,道氏转债,"无/低成交, 量:3703, 额:361374.922",2018-08-20,50
110034.XSHG,九州转债,"无/低成交, 量:410, 额:42886.0",2018-08-20,54
113502.XSHG,嘉澳转债,"无/低成交, 量:4710, 额:415023.0",2018-08-20,63
123005.XSHE,万信转债,已公告强赎: 2018-07-17,2018-08-20,66
113504.XSHG,艾华转债,"无/低成交, 量:2200, 额:237922.0",2018-08-27,28
113019.XSHG,玲珑转债,"无/低成交, 量:4560, 额:474290.0",2018-08-27,40
110041.XSHG,蒙电转债,"无/低成交, 量:3630, 额:358769.0",2018-08-27,43
123004.XSHE,铁汉转债,停牌,2018-08-27,54
123005.XSHE,万信转债,已公告强赎: 2018-07-17,2018-08-27,71
128033.XSHE,迪龙转债,"无/低成交, 量:3323, 额:316419.089",2018-09-03,24
113504.XSHG,艾华转债,"无/低成交, 量:3060, 额:332179.0",2018-09-03,31
123004.XSHE,铁汉转债,停牌,2018-09-03,56
110033.XSHG,国贸转债,"无/低成交, 量:4030, 额:420128.0",2018-09-03,58
128017.XSHE,金禾转债,"无/低成交, 量:1590, 额:163776.41",2018-09-03,68
113507.XSHG,天马转债,"无/低成交, 量:5090, 额:464938.0",2018-09-10,17
128033.XSHE,迪龙转债,"无/低成交, 量:3594, 额:343374.401",2018-09-10,32
128019.XSHE,久立转2,"无/低成交, 量:1835, 额:176011.495",2018-09-10,39
123004.XSHE,铁汉转债,停牌,2018-09-10,53
110033.XSHG,国贸转债,"无/低成交, 量:880, 额:90923.0",2018-09-10,56
128030.XSHE,天康转债,"无/低成交, 量:3510, 额:319552.505",2018-09-10,58
113510.XSHG,再升转债,"无/低成交, 量:3930, 额:367245.0",2018-09-10,61
123007.XSHE,道氏转债,"无/低成交, 量:2030, 额:187363.661",2018-09-10,67
