date,cash,total_value,market_value,unit_net_value,units,static_unit_net_value
2018-01-02,11431.1771,999209.7771,987778.6,0.99921,1000000.0,1.0
2018-01-03,11431.1771,1008550.2771,997119.1,1.00855,1000000.0,0.9992
2018-01-04,11431.1771,1016811.2371,1005380.06,1.016811,1000000.0,1.0086
2018-01-05,11431.1771,1027746.4371,1016315.26,1.027746,1000000.0,1.0168
2018-01-08,6082.0671,1028917.1071,1022835.04,1.028917,1000000.0,1.0277
2018-01-09,6082.0671,1022068.2871,1015986.22,1.022068,1000000.0,1.0289
2018-01-10,6082.0671,1017287.6071,1011205.54,1.017288,1000000.0,1.0221
2018-01-11,6082.0671,1020752.0171,1014669.95,1.020752,1000000.0,1.0173
2018-01-12,6082.0671,1018722.5771,1012640.51,1.018723,1000000.0,1.0208
2018-01-15,4149.076,1003602.486,999453.41,1.003602,1000000.0,1.0187
2018-01-16,4149.076,1004138.796,999989.72,1.004139,1000000.0,1.0036
2018-01-17,4149.076,1005287.786,1001138.71,1.005288,1000000.0,1.0041
2018-01-18,4149.076,1010248.526,1006099.45,1.010249,1000000.0,1.0053
2018-01-19,4149.076,1015975.556,1011826.48,1.015976,1000000.0,1.0102
2018-01-22,6969.8795,1028323.6095,1021353.73,1.028324,1000000.0,1.016
2018-01-23,6969.8795,1034080.2395,1027110.36,1.03408,1000000.0,1.0283
2018-01-24,6969.8795,1044126.3495,1037156.47,1.044126,1000000.0,1.0341
2018-01-25,6969.8795,1055736.9495,1048767.07,1.055737,1000000.0,1.0441
2018-01-26,6969.8795,1053474.5595,1046504.68,1.053475,1000000.0,1.0557
2018-01-29,8244.7164,1039966.9264,1031722.21,1.039967,1000000.0,1.0535
2018-01-30,8244.7164,1035459.5364,1027214.82,1.03546,1000000.0,1.04
2018-01-31,8244.7164,1028138.7364,1019894.02,1.028139,1000000.0,1.0355
2018-02-01,8244.7164,1012432.4364,1004187.72,1.012432,1000000.0,1.0281
2018-02-02,8244.7164,1014258.3664,1006013.65,1.014258,1000000.0,1.0124
2018-02-05,5407.4996,1014377.0196,1008969.52,1.014377,1000000.0,1.0143
