date,cash,transaction_cost,market_value,total_value
2018-01-02,11431.1771,790.2229,987778.6,999209.7771
2018-01-03,11431.1771,0.0,997119.1,1008550.2771
2018-01-04,11431.1771,0.0,1005380.06,1016811.2371
2018-01-05,11431.1771,0.0,1016315.26,1027746.4371
2018-01-08,6082.0671,93.1636,1022835.04,1028917.1071
2018-01-09,6082.0671,0.0,1015986.22,1022068.2871
2018-01-10,6082.0671,0.0,1011205.54,1017287.6071
2018-01-11,6082.0671,0.0,1014669.95,1020752.0171
2018-01-12,6082.0671,0.0,1012640.51,1018722.5771
2018-01-15,4149.076,185.1989,999453.41,1003602.486
2018-01-16,4149.076,0.0,999989.72,1004138.796
2018-01-17,4149.076,0.0,1001138.71,1005287.786
2018-01-18,4149.076,0.0,1006099.45,1010248.526
2018-01-19,4149.076,0.0,1011826.48,1015975.556
2018-01-22,6969.8795,110.2604,1021353.73,1028323.6095
2018-01-23,6969.8795,0.0,1027110.36,1034080.2395
2018-01-24,6969.8795,0.0,1037156.47,1044126.3495
2018-01-25,6969.8795,0.0,1048767.07,1055736.9495
2018-01-26,6969.8795,0.0,1046504.68,1053474.5595
2018-01-29,8244.7164,226.0248,1031722.21,1039966.9264
2018-01-30,8244.7164,0.0,1027214.82,1035459.5364
2018-01-31,8244.7164,0.0,1019894.02,1028138.7364
2018-02-01,8244.7164,0.0,1004187.72,1012432.4364
2018-02-02,8244.7164,0.0,1006013.65,1014258.3664
2018-02-05,5407.4996,101.3197,1008969.52,1014377.0196
2018-02-06,5407.4996,0.0,996773.96,1002181.4596
2018-02-07,5407.4996,0.0,995688.55,1001096.0496
2018-02-08,5407.4996,0.0,999970.12,1005377.6196
2018-02-09,5407.4996,0.0,985397.04,990804.5396
2018-02-12,2089.4171,185.9684,1003953.69,1006043.1071
2018-02-13,2089.4171,0.0,1008363.38,1010452.7971
2018-02-14,2089.4171,0.0,1009630.19,1011719.6071
2018-02-22,4965.2396,131.2428,1013473.96,1018439.1996
2018-02-23,4965.2396,0.0,1011918.03,1016883.2696
2018-02-26,4924.0537,92.9776,1022011.56,1026935.6137
2018-02-27,4924.0537,0.0,1021003.29,1025927.3437
2018-02-28,4924.0537,0.0,1019088.86,1024012.9137
2018-03-01,4924.0537,0.0,1023735.52,1028659.5737
2018-03-02,4924.0537,0.0,1021228.26,1026152.3137
2018-03-05,5664.6249,102.7681,1020404.75,1026069.3749
2018-03-06,5664.6249,0.0,1018928.2,1024592.8249
2018-03-07,5664.6249,0.0,1018213.7,1023878.3249
2018-03-08,5664.6249,0.0,1019315.68,1024980.3049
2018-03-09,5664.6249,0.0,1025480.54,1031145.1649
2018-03-12,8664.1282,99.5592,1028622.59,1037286.7182
2018-03-13,8664.1282,0.0,1032598.75,1041262.8782
2018-03-14,8664.1282,0.0,1027684.7,1036348.8282
2018-03-15,8664.1282,0.0,1024860.61,1033524.7382
2018-03-16,8664.1282,0.0,1026497.78,1035161.9082
2018-03-19,7892.2074,158.0481,1028272.24,1036164.4474
2018-03-20,7892.2074,0.0,1026605.3,1034497.5074
2018-03-21,7892.2074,0.0,1026303.12,1034195.3274
2018-03-22,7892.2074,0.0,1026237.72,1034129.9274
2018-03-23,7892.2074,0.0,1012518.12,1020410.3274
2018-03-26,6818.3707,195.1054,1019526.96,1026345.3307
2018-03-27,6818.3707,0.0,1028413.1,1035231.4707
2018-03-28,6818.3707,0.0,1025382.96,1032201.3307
2018-03-29,6818.3707,0.0,1024260.52,1031078.8907
2018-03-30,6818.3707,0.0,1030783.88,1037602.2507
2018-04-02,8380.1096,155.2499,1036224.91,1044605.0196
2018-04-03,8380.1096,0.0,1034537.33,1042917.4396
2018-04-04,8380.1096,0.0,1036317.13,1044697.2396
2018-04-09,8863.3959,136.3335,1037221.82,1046085.2159
2018-04-10,8863.3959,0.0,1033364.17,1042227.5659
2018-04-11,8863.3959,0.0,1034689.89,1043553.2859
2018-04-12,8863.3959,0.0,1031877.64,1040741.0359
2018-04-13,8863.3959,0.0,1031034.66,1039898.0559
2018-04-16,6923.9575,226.3921,1029144.91,1036068.8675
2018-04-17,6923.9575,0.0,1026437.04,1033360.9975
2018-04-18,6923.9575,0.0,1031428.79,1038352.7475
2018-04-19,6923.9575,0.0,1032151.73,1039075.6875
2018-04-20,6923.9575,0.0,1027036.28,1033960.2375
2018-04-23,5291.8275,226.907,1014024.09,1019315.9175
2018-04-24,5291.8275,0.0,1026049.42,1031341.2475
2018-04-25,5291.8275,0.0,1023958.98,1029250.8075
2018-04-26,5291.8275,0.0,1021917.19,1027209.0175
2018-04-27,5291.8275,0.0,1020728.98,1026020.8075
2018-05-02,9023.9712,98.3544,1014714.6,1023738.5712
2018-05-03,9023.9712,0.0,1020084.44,1029108.4112
2018-05-04,9023.9712,0.0,1022691.33,1031715.3012
2018-05-07,8977.5322,185.1802,1030232.88,1039210.4122
2018-05-08,8977.5322,0.0,1033855.81,1042833.3422
2018-05-09,8977.5322,0.0,1034710.87,1043688.4022
2018-05-10,8977.5322,0.0,1038970.89,1047948.4222
2018-05-11,8977.5322,0.0,1032032.74,1041010.2722
2018-05-14,5936.9424,145.151,1029724.62,1035661.5624
2018-05-15,5936.9424,0.0,1037425.26,1043362.2024
2018-05-16,5936.9424,0.0,1034013.34,1039950.2824
2018-05-17,5936.9424,0.0,1034802.62,1040739.5624
2018-05-18,5936.9424,0.0,1034482.44,1040419.3824
2018-05-21,3467.2224,156.6441,1041150.59,1044617.8124
2018-05-22,3467.2224,0.0,1044290.69,1047757.9124
2018-05-23,3467.2224,0.0,1039687.42,1043154.6424
2018-05-24,3467.2224,0.0,1039406.42,1042873.6424
2018-05-25,3467.2224,0.0,1033601.8,1037069.0224
2018-05-28,2049.9374,96.645,1025655.54,1027705.4774
2018-05-29,2049.9374,0.0,1018391.86,1020441.7974
2018-05-30,2049.9374,0.0,1002369.87,1004419.8074
2018-05-31,2049.9374,0.0,1007335.16,1009385.0974
2018-06-01,2049.9374,0.0,1006730.56,1008780.4974
2018-06-04,4581.119,180.1912,997230.78,1001811.899
2018-06-05,4581.119,0.0,1008687.93,1013269.049
2018-06-06,4581.119,0.0,1013067.91,1017649.029
2018-06-07,4581.119,0.0,1017645.57,1022226.689
