date,order_book_id,symbol,quantity,last_price,avg_price,market_value
2018-01-02,113016.XSHG,小康转债,490.0,100.0,100.0,49000.0
2018-01-02,110040.XSHG,生益转债,440.0,111.53,111.53,49073.2
2018-01-02,128023.XSHE,亚太转债,520.0,95.24,95.24,49524.8
2018-01-02,113011.XSHG,光大转债,470.0,105.8,105.8,49726.0
2018-01-02,110034.XSHG,九州转债,450.0,110.44,110.44,49698.0
2018-01-02,113503.XSHG,泰晶转债,490.0,101.8,101.8,49882.0
2018-01-02,123002.XSHE,国祯转债,440.0,112.122,112.122,49333.68
2018-01-02,128015.XSHE,久其转债,510.0,96.2,96.2,49062.0
2018-01-02,128025.XSHE,特一转债,500.0,98.202,98.202,49101.0
2018-01-02,110039.XSHG,宝信转债,460.0,107.17,107.17,49298.2
2018-01-02,128018.XSHE,时达转债,520.0,95.4,95.4,49608.0
2018-01-02,113502.XSHG,嘉澳转债,510.0,96.29,96.29,49107.9
2018-01-02,113012.XSHG,骆驼转债,510.0,96.46,96.46,49194.6
2018-01-02,128021.XSHE,兄弟转债,490.0,100.45,100.45,49220.5
2018-01-02,128019.XSHE,久立转2,520.0,95.5,95.5,49660.0
2018-01-02,128014.XSHE,永东转债,470.0,105.766,105.766,49710.02
2018-01-02,110033.XSHG,国贸转债,420.0,118.08,118.08,49593.6
2018-01-02,128022.XSHE,众信转债,470.0,104.2,104.2,48974.0
2018-01-02,113013.XSHG,国君转债,470.0,105.93,105.93,49787.1
2018-01-02,113009.XSHG,广汽转债,420.0,117.2,117.2,49224.0
2018-01-03,113016.XSHG,小康转债,490.0,100.41,100.0,49200.9
2018-01-03,110040.XSHG,生益转债,440.0,112.31,111.53,49416.4
2018-01-03,128023.XSHE,亚太转债,520.0,95.5,95.24,49660.0
2018-01-03,113011.XSHG,光大转债,470.0,107.17,105.8,50369.9
2018-01-03,110034.XSHG,九州转债,450.0,112.74,110.44,50733.0
2018-01-03,113503.XSHG,泰晶转债,490.0,102.51,101.8,50229.9
2018-01-03,123002.XSHE,国祯转债,440.0,113.2,112.122,49808.0
2018-01-03,128015.XSHE,久其转债,510.0,97.0,96.2,49470.0
2018-01-03,128025.XSHE,特一转债,500.0,98.781,98.202,49390.5
2018-01-03,110039.XSHG,宝信转债,460.0,108.0,107.17,49680.0
2018-01-03,128018.XSHE,时达转债,520.0,95.7,95.4,49764.0
2018-01-03,113502.XSHG,嘉澳转债,510.0,97.11,96.29,49526.1
2018-01-03,113012.XSHG,骆驼转债,510.0,97.38,96.46,49663.8
2018-01-03,128021.XSHE,兄弟转债,490.0,101.3,100.45,49637.0
2018-01-03,128019.XSHE,久立转2,520.0,95.821,95.5,49826.92
2018-01-03,128014.XSHE,永东转债,470.0,105.814,105.766,49732.58
2018-01-03,110033.XSHG,国贸转债,420.0,120.01,118.08,50404.2
2018-01-03,128022.XSHE,众信转债,470.0,105.21,104.2,49448.7
2018-01-03,113013.XSHG,国君转债,470.0,108.7,105.93,51089.0
2018-01-03,113009.XSHG,广汽转债,420.0,119.21,117.2,50068.2
2018-01-04,113016.XSHG,小康转债,490.0,100.58,100.0,49284.2
2018-01-04,110040.XSHG,生益转债,440.0,112.25,111.53,49390.0
2018-01-04,128023.XSHE,亚太转债,520.0,96.023,95.24,49931.96
2018-01-04,113011.XSHG,光大转债,470.0,107.2,105.8,50384.0
2018-01-04,110034.XSHG,九州转债,450.0,114.0,110.44,51300.0
2018-01-04,113503.XSHG,泰晶转债,490.0,103.81,101.8,50866.9
2018-01-04,123002.XSHE,国祯转债,440.0,113.015,112.122,49726.6
2018-01-04,128015.XSHE,久其转债,510.0,97.09,96.2,49515.9
2018-01-04,128025.XSHE,特一转债,500.0,99.78,98.202,49890.0
2018-01-04,110039.XSHG,宝信转债,460.0,110.35,107.17,50761.0
2018-01-04,128018.XSHE,时达转债,520.0,95.9,95.4,49868.0
2018-01-04,113502.XSHG,嘉澳转债,510.0,97.16,96.29,49551.6
2018-01-04,113012.XSHG,骆驼转债,510.0,97.63,96.46,49791.3
2018-01-04,128021.XSHE,兄弟转债,490.0,103.4,100.45,50666.0
2018-01-04,128019.XSHE,久立转2,520.0,96.77,95.5,50320.4
2018-01-04,128014.XSHE,永东转债,470.0,113.32,105.766,53260.4
2018-01-04,110033.XSHG,国贸转债,420.0,120.39,118.08,50563.8
2018-01-04,128022.XSHE,众信转债,470.0,105.5,104.2,49585.0
2018-01-04,113013.XSHG,国君转债,470.0,108.5,105.93,50995.0
2018-01-04,113009.XSHG,广汽转债,420.0,118.4,117.2,49728.0
2018-01-05,113016.XSHG,小康转债,490.0,100.7,100.0,49343.0
2018-01-05,110040.XSHG,生益转债,440.0,113.29,111.53,49847.6
2018-01-05,128023.XSHE,亚太转债,520.0,97.184,95.24,50535.68
2018-01-05,113011.XSHG,光大转债,470.0,107.99,105.8,50755.3
2018-01-05,110034.XSHG,九州转债,450.0,114.0,110.44,51300.0
2018-01-05,113503.XSHG,泰晶转债,490.0,104.98,101.8,51440.2
2018-01-05,123002.XSHE,国祯转债,440.0,113.799,112.122,50071.56
2018-01-05,128015.XSHE,久其转债,510.0,98.488,96.2,50228.88
2018-01-05,128025.XSHE,特一转债,500.0,100.46,98.202,50230.0
2018-01-05,110039.XSHG,宝信转债,460.0,112.95,107.17,51957.0
2018-01-05,128018.XSHE,时达转债,520.0,96.911,95.4,50393.72
2018-01-05,113502.XSHG,嘉澳转债,510.0,98.71,96.29,50342.1
2018-01-05,113012.XSHG,骆驼转债,510.0,98.41,96.46,50189.1
2018-01-05,128021.XSHE,兄弟转债,490.0,106.7,100.45,52283.0
2018-01-05,128019.XSHE,久立转2,520.0,97.701,95.5,50804.52
2018-01-05,128014.XSHE,永东转债,470.0,111.8,105.766,52546.0
2018-01-05,110033.XSHG,国贸转债,420.0,123.89,118.08,52033.8
2018-01-05,128022.XSHE,众信转债,470.0,107.3,104.2,50431.0
2018-01-05,113013.XSHG,国君转债,470.0,109.82,105.93,51615.4
2018-01-05,113009.XSHG,广汽转债,420.0,118.97,117.2,49967.4
2018-01-08,113016.XSHG,小康转债,500.0,101.03,100.0206,50515.0
2018-01-08,110040.XSHG,生益转债,450.0,113.68,111.5778,51156.0
2018-01-08,128023.XSHE,亚太转债,520.0,98.1,95.24,51012.0
2018-01-08,113011.XSHG,光大转债,470.0,107.84,105.8,50684.8
2018-01-08,110034.XSHG,九州转债,450.0,113.95,110.44,51277.5
2018-01-08,113503.XSHG,泰晶转债,490.0,104.76,101.8,51332.4
2018-01-08,123002.XSHE,国祯转债,450.0,113.501,112.1526,51075.45
2018-01-08,128015.XSHE,久其转债,520.0,98.38,96.2419,51157.6
2018-01-08,128025.XSHE,特一转债,510.0,100.488,98.2468,51248.88
2018-01-08,110039.XSHG,宝信转债,460.0,112.03,107.17,51533.8
2018-01-08,128018.XSHE,时达转债,530.0,96.821,95.4268,51315.13
2018-01-08,113502.XSHG,嘉澳转债,510.0,98.71,96.29,50342.1
2018-01-08,113012.XSHG,骆驼转债,520.0,98.11,96.4917,51017.2
2018-01-08,128021.XSHE,兄弟转债,480.0,107.201,100.45,51456.48
2018-01-08,128019.XSHE,久立转2,520.0,97.652,95.5,50779.04
2018-01-08,128014.XSHE,永东转债,460.0,112.8,105.766,51888.0
2018-01-08,128022.XSHE,众信转债,470.0,107.805,104.2,50668.35
2018-01-08,113013.XSHG,国君转债,470.0,111.07,105.93,52202.9
2018-01-08,113009.XSHG,广汽转债,430.0,118.53,117.2309,50967.9
2018-01-08,128026.XSHE,众兴转债,510.0,100.401,100.401,51204.51
2018-01-09,113016.XSHG,小康转债,500.0,100.68,100.0206,50340.0
2018-01-09,110040.XSHG,生益转债,450.0,111.61,111.5778,50224.5
2018-01-09,128023.XSHE,亚太转债,520.0,97.0,95.24,50440.0
2018-01-09,113011.XSHG,光大转债,470.0,107.43,105.8,50492.1
2018-01-09,110034.XSHG,九州转债,450.0,114.48,110.44,51516.0
2018-01-09,113503.XSHG,泰晶转债,490.0,103.41,101.8,50670.9
2018-01-09,123002.XSHE,国祯转债,450.0,112.62,112.1526,50679.0
2018-01-09,128015.XSHE,久其转债,520.0,98.251,96.2419,51090.52
2018-01-09,128025.XSHE,特一转债,510.0,100.43,98.2468,51219.3
2018-01-09,110039.XSHG,宝信转债,460.0,111.07,107.17,51092.2
2018-01-09,128018.XSHE,时达转债,530.0,96.26,95.4268,51017.8
2018-01-09,113502.XSHG,嘉澳转债,510.0,98.71,96.29,50342.1
2018-01-09,113012.XSHG,骆驼转债,520.0,97.97,96.4917,50944.4
2018-01-09,128021.XSHE,兄弟转债,480.0,106.371,100.45,51058.08
2018-01-09,128019.XSHE,久立转2,520.0,96.844,95.5,50358.88
2018-01-09,128014.XSHE,永东转债,460.0,111.387,105.766,51238.02
2018-01-09,128022.XSHE,众信转债,470.0,106.3,104.2,49961.0
2018-01-09,113013.XSHG,国君转债,470.0,110.9,105.93,52123.0
2018-01-09,113009.XSHG,广汽转债,430.0,117.0,117.2309,50310.0
2018-01-09,128026.XSHE,众兴转债,510.0,99.742,100.401,50868.42
2018-01-10,113016.XSHG,小康转债,500.0,100.34,100.0206,50170.0
2018-01-10,110040.XSHG,生益转债,450.0,112.99,111.5778,50845.5
2018-01-10,128023.XSHE,亚太转债,520.0,96.043,95.24,49942.36
2018-01-10,113011.XSHG,光大转债,470.0,108.0,105.8,50760.0
2018-01-10,110034.XSHG,九州转债,450.0,113.01,110.44,50854.5
2018-01-10,113503.XSHG,泰晶转债,490.0,101.94,101.8,49950.6
2018-01-10,123002.XSHE,国祯转债,450.0,110.322,112.1526,49644.9
2018-01-10,128015.XSHE,久其转债,520.0,98.332,96.2419,51132.64
2018-01-10,128025.XSHE,特一转债,510.0,99.91,98.2468,50954.1
2018-01-10,110039.XSHG,宝信转债,460.0,113.54,107.17,52228.4
2018-01-10,128018.XSHE,时达转债,530.0,95.9,95.4268,50827.0
2018-01-10,113502.XSHG,嘉澳转债,510.0,98.71,96.29,50342.1
2018-01-10,113012.XSHG,骆驼转债,520.0,96.85,96.4917,50362.0
2018-01-10,128021.XSHE,兄弟转债,480.0,106.0,100.45,50880.0
2018-01-10,128019.XSHE,久立转2,520.0,96.522,95.5,50191.44
2018-01-10,128014.XSHE,永东转债,460.0,109.3,105.766,50278.0
2018-01-10,128022.XSHE,众信转债,470.0,105.5,104.2,49585.0
2018-01-10,113013.XSHG,国君转债,470.0,110.5,105.93,51935.0
2018-01-10,113009.XSHG,广汽转债,430.0,116.6,117.2309,50138.0
2018-01-10,128026.XSHE,众兴转债,510.0,98.4,100.401,50184.0
2018-01-11,113016.XSHG,小康转债,500.0,99.91,100.0206,49955.0
2018-01-11,110040.XSHG,生益转债,450.0,114.53,111.5778,51538.5
2018-01-11,128023.XSHE,亚太转债,520.0,96.24,95.24,50044.8
2018-01-11,113011.XSHG,光大转债,470.0,107.55,105.8,50548.5
2018-01-11,110034.XSHG,九州转债,450.0,112.69,110.44,50710.5
2018-01-11,113503.XSHG,泰晶转债,490.0,102.54,101.8,50244.6
2018-01-11,123002.XSHE,国祯转债,450.0,110.54,112.1526,49743.0
2018-01-11,128015.XSHE,久其转债,520.0,99.352,96.2419,51663.04
2018-01-11,128025.XSHE,特一转债,510.0,100.27,98.2468,51137.7
2018-01-11,110039.XSHG,宝信转债,460.0,116.4,107.17,53544.0
2018-01-11,128018.XSHE,时达转债,530.0,96.091,95.4268,50928.23
2018-01-11,113502.XSHG,嘉澳转债,510.0,98.71,96.29,50342.1
2018-01-11,113012.XSHG,骆驼转债,520.0,97.27,96.4917,50580.4
2018-01-11,128021.XSHE,兄弟转债,480.0,106.5,100.45,51120.0
2018-01-11,128019.XSHE,久立转2,520.0,96.912,95.5,50394.24
2018-01-11,128014.XSHE,永东转债,460.0,109.649,105.766,50438.54
2018-01-11,128022.XSHE,众信转债,470.0,105.66,104.2,49660.2
2018-01-11,113013.XSHG,国君转债,470.0,109.76,105.93,51587.2
2018-01-11,113009.XSHG,广汽转债,430.0,116.93,117.2309,50279.9
2018-01-11,128026.XSHE,众兴转债,510.0,98.45,100.401,50209.5
2018-01-12,113016.XSHG,小康转债,500.0,99.78,100.0206,49890.0
2018-01-12,110040.XSHG,生益转债,450.0,114.31,111.5778,51439.5
2018-01-12,128023.XSHE,亚太转债,520.0,95.932,95.24,49884.64
2018-01-12,113011.XSHG,光大转债,470.0,107.8,105.8,50666.0
2018-01-12,110034.XSHG,九州转债,450.0,110.59,110.44,49765.5
2018-01-12,113503.XSHG,泰晶转债,490.0,102.42,101.8,50185.8
2018-01-12,123002.XSHE,国祯转债,450.0,110.301,112.1526,49635.45
2018-01-12,128015.XSHE,久其转债,520.0,98.974,96.2419,51466.48
2018-01-12,128025.XSHE,特一转债,510.0,100.4,98.2468,51204.0
2018-01-12,110039.XSHG,宝信转债,460.0,114.82,107.17,52817.2
2018-01-12,128018.XSHE,时达转债,530.0,95.795,95.4268,50771.35
2018-01-12,113502.XSHG,嘉澳转债,510.0,98.71,96.29,50342.1
2018-01-12,113012.XSHG,骆驼转债,520.0,97.81,96.4917,50861.2
2018-01-12,128021.XSHE,兄弟转债,480.0,106.01,100.45,50884.8
